Player,MIN,PTS,TR,AS,TO
Udonis Haslem,2.7,4,1,0,0
Jaxson Hayes,16.1,7.5,4.3,0.6,0.65
Killian Hayes,25.8,6.8,2.7,5.3,3.19
Gordon Hayward,34,19.6,5.9,4.1,2.07
Juancho Hernangomez,17.3,7.2,3.9,0.7,0.52
Willy Hernangomez,18,7.8,7.1,1.1,0.72
Tyler Herro,30.3,15.1,4.9,3.4,1.87
Buddy Hield,34.3,16.6,4.7,3.6,1.83
George Hill,26.3,11.8,2.1,3.1,0.86
George Hill,18.9,6,2,1.9,1.19
Solomon Hill,21.3,4.4,3,1.1,0.59
Nate Hinton,4.4,2,0.4,0.4,0.24
Jaylen Hoard,16.8,6.1,3.4,1.3,0.89
Aaron Holiday,17.8,7.2,1.3,1.9,1
Jrue Holiday,32.3,17.7,4.5,6.1,2.15
Justin Holiday,30.3,10.5,3.6,1.7,0.75
Rondae Hollis-Jefferson,9.8,2.5,2.4,1.2,0.18
Richaun Holmes,29.2,14.2,8.3,1.7,1.23
Rodney Hood,19.1,4.7,1.9,1.2,0.82
Rodney Hood,12.7,3.9,1.8,0.4,0.29
Al Horford,27.9,14.2,6.7,3.4,1.04
Talen Horton-Tucker,20.1,9,2.6,2.8,1.63
Danuel House Jr.,25.9,8.8,3.7,1.9,1
Dwight Howard,17.3,7,8.4,0.9,1.62
Markus Howard,5.5,2.8,0.6,0.5,0.49
Kevin Huerter,30.8,11.9,3.3,3.5,1.14
Elijah Hughes,3.5,1.7,0.5,0.3,0.33
De'Andre Hunter,29.5,15,4.8,1.9,1.26
Chandler Hutchison,9.1,1.9,2.9,0.6,0.71
Chandler Hutchison,15.7,5.2,3.2,0.7,0.83
Serge Ibaka,23.3,11.1,6.7,1.8,1.07
Andre Iguodala,21.3,4.4,3.5,2.3,1.06
Ersan Ilyasova,8.7,3.8,1.7,0.2,0.47
Joe Ingles,27.9,12.1,3.6,4.7,1.75
Brandon Ingram,34.3,23.8,4.9,4.9,2.51
Kyrie Irving,34.9,26.9,4.8,6,2.39
Wes Iwundu,12.5,2.1,1.9,0.4,0.26
Wes Iwundu,14,2.8,2.6,0.4,0.72
Jaren Jackson Jr.,23.5,14.4,5.6,1.1,1.36
Frank Jackson,18.5,9.8,2.2,0.9,0.88
Josh Jackson,25.2,13.4,4.1,2.3,2.29
Justin Jackson,16.5,7.2,2.2,1.5,0.94
Justin Jackson,32.6,9,6,1,1
Reggie Jackson,23,10.7,2.9,3.1,1.1
Justin James,8.6,3.9,0.8,0.6,0.42
LeBron James,33.4,25,7.7,7.8,3.73
Mike James,18.2,7.7,2.5,4.2,1.54
DaQuan Jeffries,12.9,3.5,1.6,0.3,0.44
DaQuan Jeffries,20.1,4.9,3.2,1.2,0.46
Ty Jerome,23.9,10.7,2.8,3.6,1.42
Isaiah Joe,9.3,3.7,0.9,0.5,0.27
Alize Johnson,10.5,5.2,5,0.8,0.5
Cameron Johnson,24,9.6,3.3,1.4,0.67
James Johnson,17.4,5.7,3,1.7,0.93
James Johnson,24.5,9.2,4.1,2.2,1.27
Keldon Johnson,28.5,12.8,6,1.8,1.13
Stanley Johnson,16.5,4.4,2.5,1.5,0.89
Tyler Johnson,17.5,5.4,2,1.2,0.44
Nikola Jokic,34.6,26.4,10.8,8.3,3.08
Derrick Jones Jr.,22.7,6.8,3.5,0.8,0.55
Damian Jones,6.7,1.6,1.3,0.3,0.43
Damian Jones,14,5.4,3.3,0.1,0.63
Damian Jones,20,6.9,4.5,1.4,0.88
Mason Jones,11.8,5.8,2,1.5,1.08
Mason Jones,4.5,2.7,0.7,0.5,0.17
Tre Jones,7.3,2.5,0.6,1.1,0.35
Tyus Jones,17.5,6.3,2,3.7,0.69
DeAndre Jordan,21.9,7.5,7.5,1.6,1.49
Cory Joseph,21.5,6.6,2.3,2.5,1
Cory Joseph,26.4,12,3.2,5.5,1.79
Mfiondu Kabengele,4.1,1.2,0.6,0.2,0.26
Mfiondu Kabengele,11.6,4.3,2.9,0.8,0.56
Frank Kaminsky,15.2,6.6,4,1.7,0.47
Enes Kanter,24.4,11.2,11,1.2,1.08
Luke Kennard,19.6,8.3,2.6,1.7,0.76
Louis King,14.2,7.3,3,1.5,0.67
Maxi Kleber,26.8,7.1,5.2,1.4,0.6
Nathan Knight,8.4,3.8,2.2,0.2,0.45
Kevin Knox II,11.1,3.9,1.5,0.5,0.4
John Konchar,13.4,4.3,3,1.1,0.42
Furkan Korkmaz,19.3,9.1,2.1,1.5,0.84
Luke Kornet,7.2,2,1.2,0.3,0.08
Luke Kornet,14.1,4.4,2.9,1.1,0.33
Rodions Kurucs,3.2,0.6,0.6,0.4,0
Rodions Kurucs,6.8,1.2,1,0.4,0.82
Rodions Kurucs,6.7,3,1.8,0.8,0.8
Kyle Kuzma,28.7,12.9,6.1,1.9,1.66
Anthony Lamb,17.3,5.5,2.9,1,0.79
Jeremy Lamb,21.3,10.1,3.6,1.5,0.61
Romeo Langford,15.7,3.1,1.9,0.7,0.56
Zach LaVine,35.1,27.4,5,4.9,3.5
Jake Layman,13.9,5.1,1.5,0.6,0.58
T.J. Leaf,5.1,1.7,0.7,0.1,0.29
Jalen Lecque,3,1.3,1.3,0.5,0
Damion Lee,18.9,6.5,3.2,1.3,0.53
Saben Lee,16.3,5.6,2,3.6,1.15
Alex Len,10.8,2.3,1.6,0.4,1.14
Alex Len,15.8,7.1,4.4,0.8,0.82
Kawhi Leonard,34.1,24.8,6.5,5.2,2.02
Meyers Leonard,9.8,3.3,2.3,0.7,0.67
Caris LeVert,27.8,18.5,4.3,6,2.17
Caris LeVert,32.9,20.7,4.6,4.9,2.17
Kira Lewis Jr.,16.7,6.4,1.3,2.3,0.63
Damian Lillard,35.8,28.7,4.2,7.5,3.03
Nassir Little,13.3,4.6,2.7,0.5,0.38
Kevon Looney,19,4.1,5.3,1.9,0.61
Brook Lopez,27.2,12.3,5,0.7,0.91
Robin Lopez,19.1,9,3.8,0.8,1.06
Marcos Louzada Silva,18.8,2.7,1,1,1
Kevin Love,24.9,12.2,7.4,2.5,1.52
Kyle Lowry,34.8,17.2,5.3,7.3,2.74
Timothe Luwawu-Cabarrot,18.1,6.4,2.2,1.2,0.74
Trey Lyles,15.6,5,3.7,0.6,0.26
Will Magnay,3.3,0,0,0,1
Thon Maker,9.6,3.8,2.3,0.5,0.38
Theo Maledon,27.3,10.1,3.2,3.5,2.17
Karim Mane,8.8,1.1,1.4,0.4,0.3
Nico Mannion,12.1,4.1,1.5,2.3,1.07
Terance Mann,18.9,7,3.6,1.6,0.6
Boban Marjanovic,8.2,4.7,3.9,0.3,0.36
Lauri Markkanen,25.8,13.6,5.3,0.9,1.02
Naji Marshall,21.9,7.7,4.6,2.8,1.19
Kenyon Martin Jr.,23.7,9.3,5.4,1.1,0.84
Caleb Martin,15.4,5,2.7,1.3,0.62
Cody Martin,16.3,4,3.1,1.7,0.77
Jeremiah Martin,8.4,2.4,0.8,0.4,0.67
Kelan Martin,9.2,4.5,2.2,0.5,0.46
Frank Mason,19.8,6.3,3,3,1.25
Garrison Mathews,16.2,5.5,1.4,0.4,0.16
Dakota Mathias,15.4,6,0.9,1.6,0.13
Wesley Matthews,19.5,4.8,1.6,0.9,0.45
Tyrese Maxey,15.3,8,1.7,2,0.67
Skylar Mays,8.2,3.8,1.1,0.9,0.27
Patrick McCaw,6.7,1,0.6,0.8,0
CJ McCollum,34,23.1,3.9,4.7,1.36
T.J. McConnell,26,8.6,3.7,6.6,1.96
Jalen McDaniels,19.2,7.4,3.6,1.1,0.96
Jaden McDaniels,24,6.8,3.7,1.1,0.75
Doug McDermott,24.5,13.6,3.3,1.3,0.8
Sean McDermott,8.8,2.2,1.1,0.2,0.22
JaVale McGee,15.2,8,5.2,1,1.36
JaVale McGee,13.5,5.5,5.3,0.5,1.15
Rodney McGruder,12.1,5.7,1.4,1,0.44
Alfonzo McKinnie,6.6,3.1,1.4,0.2,0.13
Jordan McLaughlin,18.4,5,2.1,3.8,1
Ben McLemore,16.8,7.4,2.1,0.9,0.88
Ben McLemore,17.5,8,1.6,0.5,0.71
Nicolo Melli,11,2,2.6,1.1,0.32
Nicolo Melli,14.1,4,2.8,0.8,0.22
De'Anthony Melton,20.1,9.1,3.1,2.5,1.27
Sam Merrill,7.8,3,1,0.7,0.33
Chimezie Metu,13.6,6.3,3.1,0.8,0.81
Khris Middleton,33.4,20.4,6,5.4,2.6
Darius Miller,10.9,4.1,1.3,1.2,0.44
