Player,MIN,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,OR,DR,TR,AS,TO,ST,BS,EFF
山本柊輔,4.284464285714286,0.7142857142857143,0.23214285714285715,0.8928571428571429,0.017857142857142856,0.2857142857142857,0.23214285714285715,0.3392857142857143,0.125,0.19642857142857142,0.32142857142857145,0.4107142857142857,0.39285714285714285,0.16071428571428573,0,0.19642857142857142
寺園脩斗,16.240338983050847,6.593220338983051,2.4745762711864407,6.203389830508475,0.7627118644067796,2.288135593220339,0.8813559322033898,1.0677966101694916,0.3898305084745763,1.2372881355932204,1.6271186440677967,2.4915254237288136,0.9830508474576272,0.4576271186440678,0,4.627118644067797
寺嶋良,21.805636363636363,8.127272727272727,3.1818181818181817,7.127272727272727,0.45454545454545453,1.4545454545454546,1.309090909090909,1.6181818181818182,0.43636363636363634,1.8727272727272728,2.309090909090909,3.1636363636363636,1.309090909090909,0.7818181818181819,0.05454545454545454,7.9818181818181815
篠山竜青,20.02915254237288,5.864406779661017,2.23728813559322,4.932203389830509,0.559322033898305,1.6610169491525424,0.8305084745762712,1.1864406779661016,0.4576271186440678,0.864406779661017,1.3220338983050848,4.694915254237288,1.2881355932203389,0.7457627118644068,0.05084745762711865,7.4576271186440675
狩俣昌也,26.07915254237288,8.016949152542374,2.830508474576271,7.423728813559322,1.6271186440677967,4.88135593220339,0.7288135593220338,0.8813559322033898,0.6440677966101694,1.423728813559322,2.0677966101694913,3.0338983050847457,1.2372881355932204,0.864406779661017,0.01694915254237288,7.694915254237288
狩野祐介,19.21857142857143,5.25,1.7678571428571428,3.767857142857143,1.5,3.1607142857142856,0.21428571428571427,0.21428571428571427,0.17857142857142858,0.75,0.9285714285714286,1.2857142857142858,0.44642857142857145,0.25,0,4.892857142857143
秋山皓太,13.557843137254903,3.156862745098039,1.0588235294117647,3.1176470588235294,0.7843137254901961,2.411764705882353,0.2549019607843137,0.29411764705882354,0.13725490196078433,0.5686274509803921,0.7058823529411765,0.47058823529411764,0.37254901960784315,0.29411764705882354,0,0.9019607843137255
小原翼,3.698545454545455,0.6363636363636364,0.2727272727272727,0.5818181818181818,0.07272727272727272,0.14545454545454545,0.01818181818181818,0.01818181818181818,0.2,0.23636363636363636,0.43636363636363634,0.05454545454545454,0.23636363636363636,0.07272727272727272,0.01818181818181818,0.10909090909090909
小阪彰久,5.572166666666667,0.7,0.3,0.8333333333333334,0,0.11666666666666667,0.1,0.3,0.2833333333333333,0.5666666666666667,0.85,0.25,0.4,0.11666666666666667,0.15,-0.05
小酒部泰暉,16.70021739130435,6.521739130434782,2.152173913043478,4.869565217391305,0.9130434782608695,2.217391304347826,1.3043478260869565,1.565217391304348,0.45652173913043476,1.0217391304347827,1.4782608695652173,1.7608695652173914,1,0.6739130434782609,0.021739130434782608,6.043478260869565
小島元基,13.945178571428572,4.321428571428571,1.5,3.25,0.8571428571428571,1.8571428571428572,0.4642857142857143,0.6785714285714286,0.3392857142857143,0.6071428571428571,0.9464285714285714,2.732142857142857,0.8571428571428571,0.375,0.017857142857142856,5.178571428571429
小野寺祥太,5.561111111111111,1.1666666666666667,0.3888888888888889,0.9444444444444444,0.19444444444444445,0.5555555555555556,0.19444444444444445,0.3333333333333333,0.2777777777777778,0.25,0.5277777777777778,0.25,0.3055555555555556,0.19444444444444445,0.027777777777777776,0.4444444444444444
小野龍猛,16.443653846153847,3.6923076923076925,1.3653846153846154,3.730769230769231,0.36538461538461536,1.6923076923076923,0.5961538461538461,0.9423076923076923,0.7307692307692307,1.7115384615384615,2.4423076923076925,0.5769230769230769,0.5192307692307693,0.3269230769230769,0.09615384615384616,3.3846153846153846
小林遥太,9.740357142857142,2.0357142857142856,0.7142857142857143,1.5357142857142858,0.23214285714285715,0.5178571428571429,0.375,0.6428571428571429,0.5,0.6071428571428571,1.1071428571428572,1.2678571428571428,0.42857142857142855,0.375,0.03571428571428571,2.9464285714285716
松井啓十郎,22.251923076923077,8.153846153846153,2.826923076923077,6.538461538461538,1.5384615384615385,3.730769230769231,0.9615384615384616,1.1153846153846154,0.34615384615384615,1.5961538461538463,1.9423076923076923,1.0961538461538463,0.7115384615384616,0.36538461538461536,0.019230769230769232,6.711538461538462
松脇圭志,19.445666666666668,5.216666666666667,1.9333333333333333,4.416666666666667,0.9166666666666666,2.7666666666666666,0.43333333333333335,0.6333333333333333,0.25,1.1833333333333333,1.4333333333333333,1.5166666666666666,0.7666666666666667,0.85,0.1,4.9
上澤俊喜,2.3354545454545454,0.7272727272727273,0.18181818181818182,0.8181818181818182,0,0.2727272727272727,0.36363636363636365,0.36363636363636365,0,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.36363636363636365,0,0.09090909090909091,-0.18181818181818182
城宝匡史,6.020333333333333,1.6666666666666667,0.55,1.6666666666666667,0.45,1.3833333333333333,0.11666666666666667,0.2,0.13333333333333333,0.2833333333333333,0.4166666666666667,0.3333333333333333,0.21666666666666667,0.2,0,0.8
常田耕平,0.80625,0,0,0.375,0,0.125,0,0,0.125,0.125,0.25,0,0,0,0,-0.25
森井健太,18.98593220338983,2.711864406779661,0.9322033898305084,3.288135593220339,0.4406779661016949,1.8305084745762712,0.4067796610169492,0.7457627118644068,0.4067796610169492,1.305084745762712,1.7118644067796611,3.9661016949152543,0.9491525423728814,0.6101694915254238,0.01694915254237288,4.186440677966102
森山修斗,2.2399999999999998,0.6585365853658537,0.21951219512195122,0.6341463414634146,0.14634146341463414,0.3902439024390244,0.07317073170731707,0.0975609756097561,0.04878048780487805,0.07317073170731707,0.12195121951219512,0.024390243902439025,0.0975609756097561,0.024390243902439025,0.04878048780487805,0.21951219512195122
森川正明,27.182881355932203,9.457627118644067,3.542372881355932,7.694915254237288,1.576271186440678,3.864406779661017,0.7966101694915254,1.0847457627118644,0.3220338983050847,1.6440677966101696,1.9661016949152543,2.0338983050847457,1.152542372881356,0.6271186440677966,0.11864406779661017,8.084745762711865
神里和,3.726,0.55,0.18333333333333332,0.7833333333333333,0.11666666666666667,0.5333333333333333,0.06666666666666667,0.08333333333333333,0.06666666666666667,0.08333333333333333,0.15,0.35,0.13333333333333333,0.2,0,0.13333333333333333
須田侑太郎,19.127551020408163,6.285714285714286,2.2244897959183674,4.795918367346939,1.1224489795918366,2.5510204081632653,0.7142857142857143,1.0612244897959184,0.24489795918367346,1.2040816326530612,1.4489795918367347,1.510204081632653,0.7551020408163265,0.40816326530612246,0.08163265306122448,4.877551020408164
須藤昂矢,9.882777777777777,2.9444444444444446,1.0185185185185186,2.8333333333333335,0.5185185185185185,1.4814814814814814,0.3888888888888889,0.5185185185185185,0.2037037037037037,0.42592592592592593,0.6296296296296297,0.5,0.2777777777777778,0.24074074074074073,0.05555555555555555,1.1296296296296295
水戸健史,16.629,4.633333333333334,1.9,3.7,0.4166666666666667,1.1,0.4166666666666667,0.6166666666666667,0.5,0.8833333333333333,1.3833333333333333,1.2666666666666666,0.35,0.6666666666666666,0.11666666666666667,4.666666666666667
水野幹太,3.358076923076923,0.7307692307692307,0.2692307692307692,0.8461538461538461,0.038461538461538464,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.038461538461538464,0.19230769230769232,0.23076923076923078,0.3076923076923077,0.4230769230769231,0.11538461538461539,0,0.15384615384615385
